#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
        62   -1.4745747674e+01    2.1762860278e+02   -3.0791697521e+01    1.6045949847e+01    4.4697229430e+00   -3.5261420464e+01    1.6000000000e+01    4.6320259571e-04    6.1406250000e-01
        63   -1.4766450516e+01    2.1822020707e+02   -2.2198296814e+01    7.4318462981e+00    4.2347599828e+00   -2.6433056796e+01    1.6000000000e+01    4.6144425869e-04    6.0052083333e-01
        64   -1.4601410389e+01    2.1326243013e+02   -2.5961692508e+01    1.1360282119e+01    4.3552334380e+00   -3.0316925946e+01    1.6000000000e+01    4.8476457596e-04    6.2864583333e-01
        65   -1.4664736191e+01    2.1525548049e+02   -2.9744898078e+01    1.5080161887e+01    4.5529795661e+00   -3.4297877644e+01    1.6000000000e+01    4.9096345901e-04    5.7812500000e-01
        66   -1.4668804353e+01    2.1522354072e+02   -2.3469690602e+01    8.8008862494e+00    4.3946507496e+00   -2.7864341352e+01    1.6000000000e+01    4.9412250519e-04    6.1458333333e-01
        67   -1.4515602600e+01    2.1078986778e+02   -3.0058664550e+01    1.5543061950e+01    4.2816612999e+00   -3.4340325850e+01    1.6000000000e+01    4.8097968102e-04    6.2864583333e-01
        68   -1.4507522288e+01    2.1070830146e+02   -2.8201370070e+01    1.3693847781e+01    4.8623304522e+00   -3.3063700522e+01    1.6000000000e+01    4.5728683472e-04    6.0833333333e-01
        69   -1.4601329512e+01    2.1330815539e+02   -3.1782473595e+01    1.7181144083e+01    4.2239987901e+00   -3.6006472386e+01    1.6000000000e+01    4.4333934784e-04    5.9375000000e-01
        70   -1.4642755231e+01    2.1446257819e+02   -2.3776863988e+01    9.1341087567e+00    3.7081891601e+00   -2.7485053148e+01    1.6000000000e+01    4.2632222176e-04    5.8906250000e-01
        71   -1.4577589714e+01    2.1263110728e+02   -3.0217259630e+01    1.5639669915e+01    3.9105115725e+00   -3.4127771202e+01    1.6000000000e+01    4.5518577099e-04    6.0625000000e-01
        72   -1.4522795273e+01    2.1108651481e+02   -2.7124782658e+01    1.2601987384e+01    4.4554304149e+00   -3.1580213073e+01    1.6000000000e+01    4.5686960220e-04    6.2031250000e-01
        73   -1.4792424223e+01    2.1899021330e+02   -2.9269703358e+01    1.4477279135e+01    4.0036578729e+00   -3.3273361231e+01    1.6000000000e+01    4.5546889305e-04    6.0416666667e-01
        74   -1.4535657282e+01    2.1147813538e+02   -2.8413585104e+01    1.3877927822e+01    3.6862043075e+00   -3.2099789412e+01    1.6000000000e+01    4.3912231922e-04    5.9166666667e-01
        75   -1.4745804776e+01    2.1756421908e+02   -2.4462636148e+01    9.7168313720e+00    3.6626453376e+00   -2.8125281486e+01    1.6000000000e+01    4.3773651123e-04    5.9895833333e-01
        76   -1.4787943008e+01    2.1878813062e+02   -2.6439406133e+01    1.1651463126e+01    4.4986603886e+00   -3.0938066522e+01    1.6000000000e+01    4.8635900021e-04    6.2656250000e-01
        77   -1.4513115894e+01    2.1082774054e+02   -3.1106629662e+01    1.6593513768e+01    4.2034278107e+00   -3.5310057473e+01    1.6000000000e+01    4.8695504665e-04    6.0729166667e-01
        78   -1.4770215292e+01    2.1839216937e+02   -2.7893726203e+01    1.3123510911e+01    4.5160320246e+00   -3.2409758228e+01    1.6000000000e+01    4.9631297588e-04    6.1770833333e-01
        79   -1.4516532758e+01    2.1079510740e+02   -2.5150340959e+01    1.0633808201e+01    4.3865711384e+00   -2.9536912097e+01    1.6000000000e+01    4.9848854542e-04    6.0781250000e-01
        80   -1.4553886258e+01    2.1190037677e+02   -3.1742288389e+01    1.7188402131e+01    4.7612386522e+00   -3.6503527042e+01    1.6000000000e+01    4.6807527542e-04    5.9010416667e-01
        81   -1.4761584789e+01    2.1802912046e+02   -2.7429179063e+01    1.2667594274e+01    4.5874022917e+00   -3.2016581355e+01    1.6000000000e+01    4.6731531620e-04    6.0052083333e-01
        82   -1.4773127202e+01    2.1834586018e+02   -3.2405360270e+01    1.7632233069e+01    4.3663854770e+00   -3.6771745747e+01    1.6000000000e+01    4.8488378525e-04    5.9739583333e-01
        83   -1.4580207370e+01    2.1282342768e+02   -4.4764812445e+01    3.0184605075e+01    3.9334839468e+00   -4.8698296391e+01    1.6000000000e+01    4.5517086983e-04    5.9843750000e-01
        84   -1.4521884807e+01    2.1103773225e+02   -3.0394400823e+01    1.5872516016e+01    3.9944457106e+00   -3.4388846533e+01    1.6000000000e+01    4.7686696053e-04    5.9166666667e-01
